"nom","marque","pays","volume","titrage_final"
Finest Trinidad Rum - Caroni 1996-2010,Bristol Classic Rum*,Angleterre,700,43
Finest Trinidad Rum - Caroni 1996-2013,Bristol Classic Rum*,Angleterre,700,43
Finest Trinidad Rum - Caroni 1996-2014,Bristol Classic Rum*,Angleterre,700,46
Finest Trinidad Rum - Caroni 1997-2016,Bristol Classic Rum*,Angleterre,700,61.5
Finest Trinidad Rum - Caroni 1997-2017,Bristol Classic Rum*,Angleterre,700,61.5
Finest Trinidad Rum - Caroni 1997-2019,Bristol Classic Rum*,Angleterre,700,56.4
Finest Trinidad Rum - Caroni 1998-2008,Bristol Classic Rum*,Angleterre,700,40
Finest Trinidad Rum - Caroni 1998-2013,Bristol Classic Rum*,Angleterre,700,40
Finest Trinidad Rum - Caroni 1998-2015,Bristol Classic Rum*,Angleterre,700,40
Haiti 2004 Barbancourt,Bristol Classic Rum*,Angleterre,700,43
Jamaica Long Pond - 13 Years,Bristol Classic Rum*,Angleterre,700,46
Jamaica Monymusk - 21 Years,Bristol Classic Rum*,Angleterre,700,46
Jamaica Monymusk Still - 23 Years,Bristol Classic Rum*,Angleterre,700,46
Jamaica Rum 2002 - Vale Royal Wedderburn,Bristol Classic Rum*,Angleterre,700,43
Old Demerara Rum - 1985 Versailles Still (Enmore),Bristol Classic Rum*,Angleterre,700,46
Port Mourant Demerara Rum - 1980 (Diamond),Bristol Classic Rum*,Angleterre,700,51
Port Mourant Demerara Rum 17 Ans - 1990 (Diamond),Bristol Classic Rum*,Angleterre,700,46
Port Morant Demerara Rum 25 Ans - 1990 (Diamond),Bristol Classic Rum*,Angleterre,700,46
Port Mourant Demerara Rum - 1999-2013 (Diamond),Bristol Classic Rum*,Angleterre,700,46
Port Mourant Demerara Rum - 1999-2014 (Diamond),Bristol Classic Rum*,Angleterre,700,46
Port Mourant Demerara Rum - 1999-2015 (Diamond),Bristol Classic Rum*,Angleterre,700,46
Port Mourant Demerara Rum - 2008-2018 (Diamond),Bristol Classic Rum*,Angleterre,700,43
Port Mourant Still Demerara - 12 Years (Uitvlugt),Bristol Classic Rum*,Angleterre,700,46
Reserve Rum of Belize (2005),Bristol Classic Rum*,Angleterre,700,46
Reserve Rum of Grenada -  2003 (Westerhall),Bristol Classic Rum*,Angleterre,700,43
Reserve Rum of Haiti - 2004-2014,Bristol Classic Rum*,Angleterre,700,43
Reserve Rum of Haiti - 2004-2016,Bristol Classic Rum*,Angleterre,700,43
Reserve Rum of Jamaica 8 Ans Worthy Park,Bristol Classic Rum*,Angleterre,700,43
Reserve Rum of Mauritus - 2010-2015,Bristol Classic Rum*,Angleterre,700,43
Reserve Rum of Nicaragua - 1999-2017,Bristol Classic Rum*,Angleterre,700,43
Reserve Rum of Nicaragua - 2002-2013,Bristol Classic Rum*,Angleterre,700,40
Reserve Rum of Nicaragua - 2002-2015,Bristol Classic Rum*,Angleterre,700,40
Reserve Rum Of Peru - 8 Years Old,Bristol Classic Rum*,Angleterre,700,40
Reserve Rum Of Trinidad - 10 Years Old Caroni,Bristol Classic Rum*,Angleterre,700,46
Single Cask Demerara Versailles (Enmore),Bristol Classic Rum*,Angleterre,700,46
Single Demerara Rum From Versailles Distillery (Aged 11 Years)  - Cask #8447,Bristol Classic Rum*,Angleterre,700,46
Single Still Rum Monymusk - 20 Years,Bristol Classic Rum*,Angleterre,700,46
Single Still Rum Port Mourant - 12 Years (Uitvlugt),Bristol Classic Rum*,Angleterre,700,46
Single Still Rum Versailles - 12 Years (Enmore),Bristol Classic Rum*,Angleterre,700,46
The Demerara Enmore Still - 12 Years,Bristol Classic Rum*,Angleterre,700,46
The Demerara Enmore - 18 Years,Bristol Classic Rum*,Angleterre,700,46
The Versailles Still Demerara - 16 Years (Enmore),Bristol Classic Rum*,Angleterre,700,46
The Versailles Still Demerara - 18 Years (Enmore),Bristol Classic Rum*,Angleterre,700,46
Trinidad Rum Caroni 1998-2019,Bristol Classic Rum*,Angleterre,700,58.7
Millésime 1997 (Caroni),Bristol Spirit*,Angleterre,700,61.5
Monymusk 1977 (Single Still Rum),Bristol Spirit*,Angleterre,700,46
VSOC (Caroni),Bristol Spirit*,Angleterre,700,40
ADC Sancti Spiritus - Aged 14 Years,Cadenhead's*,Ecosse,700,59.2
AWM Enmore - Aged 16 Years,Cadenhead's*,Ecosse,700,64.9
AWM Enmore - Aged 18 Years,Cadenhead's*,Ecosse,700,63.3
BBR WIRD - 11 Years,Cadenhead's*,Ecosse,700,59.1
BMC Epris - Aged 14 Years (1999),Cadenhead's*,Ecosse,700,45.3
BMC Epris - Aged 15 Years (1999),Cadenhead's*,Ecosse,700,45.4
BMMG Mount Gay - Aged 8 Years,Cadenhead's*,Ecosse,700,66.3
BRS Rockley - 14 Years,Cadenhead's*,Ecosse,700,69.2
BRS Rockley - 16 Years,Cadenhead's*,Ecosse,700,67.7
"Caribbean Rum (57,7°)",Cadenhead's*,Ecosse,700,57.7
"Caribbean Rum (58,8°)",Cadenhead's*,Ecosse,700,58.8
Classic Green Label,Cadenhead's*,Ecosse,700,50
Classic Rum,Cadenhead's*,Ecosse,700,50
CMA Sancti Spiritus - Aged 17 Years (1999-April 2016),Cadenhead's*,Ecosse,700,62.6
CMA Sancti Spiritus - Aged 17 Years (1999-December 2016),Cadenhead's*,Ecosse,700,62.2
CRV Long Pond - 13 Years,Cadenhead's*,Ecosse,700,70.4
CRV Long Pond - 20 Years,Cadenhead's*,Ecosse,700,73
CRV Long Pond - 22 Years,Cadenhead's*,Ecosse,700,69.8
FSPD South Pacific - 12 Years,Cadenhead's*,Ecosse,700,60.7
FSPD South Pacific - 13 Years,Cadenhead's*,Ecosse,700,59.6
Gardel Distillery - Aged 18 Years,Cadenhead's*,Ecosse,700,57.2
Gardel Distillery - Aged 20 Years,Cadenhead's*,Ecosse,700,57.8
GM Uitvlugt - Aged 24 Years,Cadenhead's*,Ecosse,700,69
GM Uitvlugt - Aged 25 Years,Cadenhead's*,Ecosse,700,70.2
GM Uitvlugt - Aged 30 Years (1974-2004),Cadenhead's*,Ecosse,700,61.5
GM Uitvlugt - Aged 30 Years (1974-2005),Cadenhead's*,Ecosse,700,60.3
GMBV Bellevue - Aged 16 Years,Cadenhead's*,Ecosse,700,57.1
GMBV Bellevue - Aged 17 Years,Cadenhead's*,Ecosse,700,54.3
Green Label Barbados - Aged 11 Years (West Indies),Cadenhead's*,Ecosse,700,46
Green Label Barbados - Aged 15 Years (West Indies),Cadenhead's*,Ecosse,700,46
Green Label Barbados - Aged 18 Years,Cadenhead's*,Ecosse,700,46
Green Label Brazilian - Aged 12 Years,Cadenhead's*,Ecosse,700,46
Green Label Brazilian - Aged 13 Years,Cadenhead's*,Ecosse,700,46
Green Label Demerara - Aged 10 Years,Cadenhead's*,Ecosse,700,46
"Green Label Demerara - Distilled 1975 (38,5°)",Cadenhead's*,Ecosse,700,38.5
"Green Label Demerara - Distilled 1975 (40,6°)",Cadenhead's*,Ecosse,700,40.6
Green Label Guyanan - Aged 9 Years,Cadenhead's*,Ecosse,700,46
Green Label Guyanan - Aged 15 Years,Cadenhead's*,Ecosse,700,46
Green Label Haitian - Aged 7 Years,Cadenhead's*,Ecosse,700,46
Green Label Haitian - Aged 9 Years,Cadenhead's*,Ecosse,700,46
Green Label Jamaican Rum - Aged 10 Years,Cadenhead's*,Ecosse,700,46
Green Label Jamaican Rum - Aged 13 Years,Cadenhead's*,Ecosse,700,46
Green Label Jamaican Rum - Aged 25 Years (Long Pond),Cadenhead's*,Ecosse,700,46
Green Label Jamaican Rum - Aged 30 Years,Cadenhead's*,Ecosse,700,51.8
Green Label Nicaraguan Rum - Aged 9 Years,Cadenhead's*,Ecosse,700,46
Green Label Nicaraguan Rum - Aged 12 Years,Cadenhead's*,Ecosse,700,46
Green Label Panama Rum - Aged 15 Years,Cadenhead's*,Ecosse,700,46
HLCF Hampden - Aged 13 Years,Cadenhead's*,Ecosse,700,66.2
HTR Caroni - Aged 18 Years,Cadenhead's*,Ecosse,700,65.8
HTR Caroni - Aged 20 Years,Cadenhead's*,Ecosse,700,60.6
IRW Long Pond - 10 Years (1986-1996),Cadenhead's*,Ecosse,700,73.6
IRW Long Pond - 10 Years (1986-1997) - 71.9°,Cadenhead's*,Ecosse,700,71.9
IRW Long Pond - 10 Years (1986-1997) - 75°,Cadenhead's*,Ecosse,700,75
IRW Long Pond - 13 Years,Cadenhead's*,Ecosse,700,70.1
IRW Long Pond - 18 Years (1986-2004),Cadenhead's*,Ecosse,700,68.3
IRW Long Pond - 18 Years (1986-2005),Cadenhead's*,Ecosse,700,67.5
JMLR Hampden - Aged 8 Years,Cadenhead's*,Ecosse,700,63.2
JMLR Hampden - Aged 12 Years (2000-2012),Cadenhead's*,Ecosse,700,62.1
JMLR Hampden - Aged 12 Years (2002-2014),Cadenhead's*,Ecosse,700,61.6
JMWP Worthy Park - Aged 11 Years,Cadenhead's*,Ecosse,700,57.9
KFM Enmore - 12 Years,Cadenhead's*,Ecosse,700,66
KFM Enmore - 16 Years,Cadenhead's*,Ecosse,700,63.9
MBFS Foursquare - 11 Years,Cadenhead's*,Ecosse,700,60.6
MEV Enmore - 26 Years,Cadenhead's*,Ecosse,700,57.2
MPM Diamond - 14 Years,Cadenhead's*,Ecosse,700,59.1
MPM Uitvlugt - 12 Years,Cadenhead's*,Ecosse,700,62
MUI Uitvlugt - Aged 16 Years,Cadenhead's*,Ecosse,700,60.2
NMC Volcano Nicaragua - Aged 11 Years,Cadenhead's*,Ecosse,700,62
NMC Volcano Nicaragua - Aged 17 Years,Cadenhead's*,Ecosse,700,57.6
PDW Caribbean Distillers LTD - Aged 15 Years,Cadenhead's*,Ecosse,700,63
PDW Caribbean Distillers LTD - Aged 28 Years,Cadenhead's*,Ecosse,700,63.2
PDW Caribbean Distillers LTD - Aged 29 Years,Cadenhead's*,Ecosse,700,60.9
PDW Caribbean Distillers LTD - Aged 30 Years,Cadenhead's*,Ecosse,700,53.1
PM Uitvlugt - Aged 14 Years,Cadenhead's*,Ecosse,700,70.6
PM Uitvlugt - Aged 36 Years (1964-2000),Cadenhead's*,Ecosse,700,70
PM Uitvlugt - Aged 36 Years (1964-2001),Cadenhead's*,Ecosse,700,69.3
Port Morant Uitvlugt - Aged 30 Years,Cadenhead's*,Ecosse,700,73.3
Port Morant Uitvlugt - Aged 32 Years,Cadenhead's*,Ecosse,700,72.1
Providence Caroni - Aged 10 Years,Cadenhead's*,Ecosse,700,67.9
Providence Caroni - Aged 12 Years,Cadenhead's*,Ecosse,700,66.3
Providence Caroni - Aged 14 Years,Cadenhead's*,Ecosse,700,66.1
REV Enmore - 11 Years,Cadenhead's*,Ecosse,700,70
SFBT Travellers Distillery -  Aged 9 Years,Cadenhead's*,Ecosse,700,64.6
SFBT Travellers Distillery -  Aged 11 Years,Cadenhead's*,Ecosse,700,63.4
SLJD St Lucia Distillers -  Aged 9 Years,Cadenhead's*,Ecosse,700,70.8
TMAH Trinidad Distillers - Aged 12 Years,Cadenhead's*,Ecosse,700,67.4
"10 Ans Port Mourant (Uitvlugt)",AD Rattray*,Ecosse,700,46
TMAH Trinidad Distillers - Aged 19 Years,Cadenhead's*,Ecosse,700,68.3
TMAH Trinidad Distillers - Aged 21 Years,Cadenhead's*,Ecosse,700,66.9
TMAH Trinidad Distillers - Aged 24 Years,Cadenhead's*,Ecosse,700,62.6
TMAH Trinidad Distillers - Aged 25 Years,Cadenhead's*,Ecosse,700,64.3
TMCG Caroni - Aged 20 Years (Whisk-e Ltd),Cadenhead's*,Ecosse,700,62.5
TMCG Caroni - Aged 21 Years,Cadenhead's*,Ecosse,700,61.6
VNL Enmore - 30 Years,Cadenhead's*,Ecosse,700,62.9
VNL Enmore - 36 Years,Cadenhead's*,Ecosse,700,62.9
VSG Enmore - 10 Years,Cadenhead's*,Ecosse,700,75.7
VSG Enmore - 11 Years,Cadenhead's*,Ecosse,700,74.2
VSG Enmore - 13 Years,Cadenhead's*,Ecosse,700,71.6
VSG Enmore - 15 Years,Cadenhead's*,Ecosse,700,72.5
Warehouse Tasting - Blended Rum,Cadenhead's*,Ecosse,700,62
WIRR (WIRD) - 12 Years (1986-1998),Cadenhead's*,Ecosse,700,74.1
WIRR (WIRD) - 12 Years (1986-1999),Cadenhead's*,Ecosse,700,73.4
XPD Enmore - Aged 28 Years,Cadenhead's*,Ecosse,700,67.1
XPD Enmore - Aged 29 Years,Cadenhead's*,Ecosse,700,64.7
XPD Enmore - Aged 32 Years,Cadenhead's*,Ecosse,700,61.8
Fair White & Organic,Caña de Emperador*,,700,50
Guyana 16 yo (Diamond),Caña de Emperador*,,700,40
Single Estate Australia - Aged 4 Years (Beenleigh),Cane Island*,Pays-Bas,700,43
Single Estate Bélize - Aged 9 Years (Travellers),Cane Island*,Pays-Bas,700,43
Single Estate Barbados - Aged 8 Years (Foursquare),Cane Island*,Pays-Bas,700,43
Single Estate Dominican Republic - Aged 5 Years (Barceló),Cane Island*,Pays-Bas,700,43
Single Estate Guadeloupe - Aged 3 Years (Bonne Mère),Cane Island*,Pays-Bas,700,43
Single Estate Nicaragua - Aged 12 Years,Cane Island*,Pays-Bas,700,43
Single Estate Trinidad - Aged 8 Years (Angostura),Cane Island*,Pays-Bas,700,43
Single Island Blend Barbados - Extra Old,Cane Island*,Pays-Bas,700,40
Single Island Blend Cuba - Gran Añejo,Cane Island*,Pays-Bas,700,40
Single Island Blend Jamaica - Superior Reserve,Cane Island*,Pays-Bas,700,40
Single Island Blend Trinidad,Cane Island*,Pays-Bas,700,40
Fine Old Trinidad Rum (TDL),Caribbean Jack*,Allemagne,700,43
Barbados 1986 (West Indies),Caribbean Reserve*,Ecosse,700,46
Brut de Fûts - 1980 Sainte-Luce (Trois Rivières),Chantal Comte*,France,700,58
Brut de Fûts - Hors-d'Age (Bielle),Chantal Comte*,France,700,58
Brut de Fûts - Hors-d'Age (Non Filtré) - Bielle,Chantal Comte*,France,700,58
Cuvée Caribaea - Edition Numérotée (Distillerie du Simon),Chantal Comte*,France,700,50.16
Fighting Spirit Blue (Distillerie du Simon),Chantal Comte*,France,700,50
Fighting Spirit Gold (Distillerie du Simon),Chantal Comte*,France,700,50
Fighting Spirit Red (Bielle),Chantal Comte*,France,700,50
La Tour De L'Or - 2002 (La Favorite),Chantal Comte*,France,700,54.4
La Tour De L'Or - Blanc 2016 (HSE),Chantal Comte*,France,700,46.04
La Tour De L'Or - Bielle (55°),Chantal Comte*,France,700,55
"La Tour De L'Or - Bielle (56,6°)",Chantal Comte*,France,700,56.6
La Tour De L'Or - Bourbon Finish (HSE),Chantal Comte*,France,700,46.5
La Tour De L'Or - Hors d'Age (HSE),Chantal Comte*,France,700,45
La Tour De L'Or - La Mauny 2001,Chantal Comte*,France,700,64.8
La Tour De L'Or - La Mauny 2005,Chantal Comte*,France,700,51.5
La Tour De L'Or - La Mauny 2006,Chantal Comte*,France,700,57.7
Plantation de la Montagne Pelée - 1975 (Depaz),Chantal Comte*,France,700,45
Plantation de la Montagne Pelée - 1976 (Depaz),Chantal Comte*,France,700,45
Plantation de la Montagne Pelée - XO (Depaz),Chantal Comte*,France,700,45
Sainte-Luce 1977 (Trois Rivières),Chantal Comte*,France,700,45
Batyse XO (Panama),Cherry Rocher*,France,700,40
Dreambay XO (Bélize),Cherry Rocher*,France,700,40
Hauban 5 Ans d'Age (Marie Galante),Cherry Rocher*,France,700,40
Pewoke XO (Barbade),Cherry Rocher*,France,700,40
Zaye XO (Jamaique),Cherry Rocher*,France,700,40
Zwazo XO (Martinique),Cherry Rocher*,France,700,45
Australia 11 Ans - Cask #ASS52 - 2007,Compagnie Des Indes*,France,700,43
Australia 11 Ans - Cask #ASS53 - 2007,Compagnie Des Indes*,France,700,43
Australia 11 Ans - Cask #ASS54 - 2007,Compagnie Des Indes*,France,700,43
Barbados 9 Ans - Cask #MB45 - 2006 (Foursquare),Compagnie Des Indes*,France,700,62.1
Barbados 9 Ans - Cask #MB46 - 2006 (Foursquare),Compagnie Des Indes*,France,700,62.1
Barbados 10 Ans - Cask #BFD14 - 2007 (Foursquare),Compagnie Des Indes*,France,700,43
Barbados 10 Ans - Cask #BFD15 - 2007 (Foursquare) - Cask Strength,Compagnie Des Indes*,France,700,62.1
Barbados 10 Ans - Cask #BFD18 - 2007 (Foursquare),Compagnie Des Indes*,France,700,43
Barbados 10 Ans - Cask #BFD19 - 2007 (Foursquare) - Cask Strength - Salon du Rhum,Compagnie Des Indes*,France,700,62.9
Barbados 10 Ans - Cask #BFD27 - 2007 (Foursquare) - Cask Strength,Compagnie Des Indes*,France,700,62.1
Barbados 12 Ans - Cask #BD91 - 2003 (Foursquare),Compagnie Des Indes*,France,700,45
"17 Ans Caroni (Cask #213)",AD Rattray*,Ecosse,700,63.6
"18 Ans Caroni",AD Rattray*,Ecosse,700,46
"18 Ans Pampero",AD Rattray*,Ecosse,700,48.4
"25 Ans Monymusk (Cask #10)",AD Rattray*,Ecosse,700,46
"From Hampden, 15 Years Old - Single Estate Jamaican Rum",Adelphi Selection*,Ecosse,700,54.3
"From Monymusk, 14 Years Old - Single Estate Jamaican Rum (Cask #JM2)",Adelphi Selection*,Ecosse,700,58.8
Cherry Spiced,Admiral Vernon's Old J*,Angleterre,700,35
Dark Spiced,Admiral Vernon's Old J*,Angleterre,700,40
Gold Spiced,Admiral Vernon's Old J*,Angleterre,700,40
Silver,Admiral Vernon's Old J*,Angleterre,700,35
Barbados 12 Ans - Cask #BD92 - 2003 (Foursquare),Compagnie Des Indes*,France,700,45
Barbados 16 Ans - Cask #BD24 - 1998 (Foursquare),Compagnie Des Indes*,France,700,45
Barbados 16 Ans - Cask #BD36 - 1998 (Foursquare),Compagnie Des Indes*,France,700,45
Barbados 16 Ans - Cask #BD47 - 1998 (Foursquare),Compagnie Des Indes*,France,700,45
Barbados 16 Ans - Cask #MRS236 - 1998 (Foursquare) - Cask Stength,Compagnie Des Indes*,France,700,60
Barbados 16 Ans - Cask #FS9 - 1999 (Foursquare),Compagnie Des Indes*,France,700,62
Barbados 16 Ans - Cask #FS20 - 1999 (Foursquare),Compagnie Des Indes*,France,700,62
Barbados 20 Ans - Cask BVR5 - 1996,Compagnie Des Indes*,France,700,45
Bélize 8 Ans - Cask #B86 - 2005 (Travellers),Compagnie Des Indes*,France,700,44
Bélize 8 Ans - Cask #SF17 - 2005 (Travellers),Compagnie Des Indes*,France,700,44
Bélize 8 Ans - Cask #SF48 - 2005 (Travellers),Compagnie Des Indes*,France,700,64
Bélize 11 Ans - Cask #BL11 - 2005 (Travellers),Compagnie Des Indes*,France,700,66.2
Bélize 11 Ans - Cask #BL14 - 2005 (Travellers) - Cask Strength,Compagnie Des Indes*,France,700,66.2
Bélize 11 Ans - Cask #BL22 - 2005 (Travellers),Compagnie Des Indes*,France,700,43
Boulet de Canon n°2,Compagnie Des Indes*,France,700,46
Boulet de Canon n°3,Compagnie Des Indes*,France,700,46
Boulet de Canon n°4,Compagnie Des Indes*,France,700,46
Boulet de Canon n°5,Compagnie Des Indes*,France,700,46
Boulet de Canon n°6,Compagnie Des Indes*,France,700,46
Boulet de Canon n°7,Compagnie Des Indes*,France,700,46
Boulet de Canon n°8,Compagnie Des Indes*,France,700,46
Brazil 16 ans - Cask #BR10 - 1999 (Epris),Compagnie Des Indes*,France,700,42
Brazil 16 ans - Cask #BR49 - 1999 (Epris),Compagnie Des Indes*,France,700,42
Caraïbes - Cask #PV1 (Finish Pernand-Vergelesses),Compagnie Des Indes*,France,700,46
Caribbean 10 Ans - Cask CBW 54,Compagnie Des Indes*,France,700,43
Caribbean 10 Ans - Cask CBW 73,Compagnie Des Indes*,France,700,43
Cuba 15 Ans - Cask #C67 - 1998 (Sancti Spiritus),Compagnie Des Indes*,France,700,45
Cuba 16 Ans - Cask #CM5 - 1998 (Sancti Spiritus),Compagnie Des Indes*,France,700,45
Cuba 16 Ans - Cask #CM8 - 1998 (Sancti Spiritus),Compagnie Des Indes*,France,700,45
Cuba 16 Ans - Cask #CM34 - 1998 (Sancti Spiritus),Compagnie Des Indes*,France,700,45
Cuba 16 Ans - Cask #CM52 - 1998 (Sancti Spiritus),Compagnie Des Indes*,France,700,45
Cuba 16 Ans - Cask #CM61 - 1998 (Sancti Spiritus),Compagnie Des Indes*,France,700,45
Cuba 18 Ans - Cask #CSS11 - 1999 (Sancti Spiritus),Compagnie Des Indes*,France,700,45
Cuba 18 Ans - Cask #CSS12 - 1999 (Sancti Spiritus),Compagnie Des Indes*,France,700,45
Cuvée Esper,Compagnie Des Indes*,France,700,59
Darklice,Compagnie Des Indes*,France,700,43
Dom. Republic 8 Ans,Compagnie Des Indes*,France,700,43
Dom. Republic 8 Ans - Cask #DRA3 - 2010,Compagnie Des Indes*,France,700,43
Dom. Republic 8 Ans - Cask #DRA5 - 2010,Compagnie Des Indes*,France,700,43
Dom. Republic 8 Ans - Cask #DRA6 - 2010 - Cask Strength,Compagnie Des Indes*,France,700,62.1
Dom. Republic 8 Ans - Cask #DRA26 - 2010 - Cask Strength,Compagnie Des Indes*,France,700,62.1
Dom. Republic 13 Ans - 2003,Compagnie Des Indes*,France,700,46
Dom. Republic 13 Ans - Cask #RDM2 - 2003,Compagnie Des Indes*,France,700,46
Dom. Republic 15 Ans - Cask #RDM3 - 2000,Compagnie Des Indes*,France,700,64.9
Dominidad 15 Ans - Cask #SB1 - 2000,Compagnie Des Indes*,France,700,43
Dominidad 15 Ans - Cask #SB2 - 2000,Compagnie Des Indes*,France,700,43
Dominidad 15 Ans - Cask #SB3 - 2000,Compagnie Des Indes*,France,700,43
El Salvador 9 Ans -  Cask #A46 - 2007,Compagnie Des Indes*,France,700,43
El Salvador 9 Ans -  Cask #A64 - 2007,Compagnie Des Indes*,France,700,43
Fiji 10 Ans - Cask #SF12 - 2004 (South Pacific),Compagnie Des Indes*,France,700,44
Fiji 10 Ans - Cask #SF13 - 2004 (South Pacific),Compagnie Des Indes*,France,700,44
Fiji 10 Ans - Cask #SF24 - 2004 (South Pacific),Compagnie Des Indes*,France,700,44
Fiji 10 Ans - Cask #SF32 - 2004 (South Pacific),Compagnie Des Indes*,France,700,44
Fiji 11 Ans - Cask #SF15 - 2004 (South Pacific),Compagnie Des Indes*,France,700,66.8
Fiji 12 Ans (South Pacific),Compagnie Des Indes*,France,700,
Fiji 13 Ans - Cask #FSP7 - 2004 (South Pacific),Compagnie Des Indes*,France,700,44
Fiji 13 Ans - Cask #FSP32 - 2004 (South Pacific),Compagnie Des Indes*,France,700,44
Florida 13 Ans - Cask #FWSC1 - 2004,Compagnie Des Indes*,France,700,45
Florida 13 Ans - Cask #FWSC2 - 2004,Compagnie Des Indes*,France,700,45
Spiced,Admiral Vernon's Old J*,Angleterre,700,35
Florida 14 Ans - Cask #FWH21,Compagnie Des Indes*,France,700,44
Florida 14 Ans - Cask #FWH22,Compagnie Des Indes*,France,700,44
